product_number;product_name;discount_price;price
71750;Lloyd's Hydro Mech;74.97;153
75310;Duel on Mandalore™;80.36;164
76154;Deviant Ambush!;77.91;159
76184;Spider-Man vs. Mysterio’s Drone Attack;77.91;159
76186;Black Panther Dragon Flyer;78.4;160
76195;Spider-Man’s Drone Duel;77.91;159
76198;Spider-Man & Doctor Octopus Mech Battle;;
76219;Spider-Man & Green Goblin Mech Battle;;
76900;Koenigsegg Jesko;78.4;160
76901;Toyota GR Supra;77.91;159
76902;McLaren Elva;77.91;159
10872;Train Bridge and Tracks;82.32;168
10944;Space Shuttle Mission;89.18;182
21180;The Guardian Battle;88.2;180
21184;The Bakery;89.67;183
41960;Big Box;97.02;198
60352;LEGO® City Advent Calendar;82.81;169
76906;1970 Ferrari 512 M;77.91;159
76907;Lotus Evija;73.99;151
76908;Lamborghini Countach;77.91;159
76911;007 Aston Martin DB5;76.44;156
76912;Fast & Furious 1970 Dodge Charger R/T;75.95;155
41706;LEGO® Friends Advent Calendar;90.55;184.8
41707;Tree-Planting Vehicle;98;200
60327;Horse Transporter;91.14;186
60343;Rescue Helicopter Transport;90.65;185
71035;The Muppets 6 pack;;
71036;tbd-Minifigures-Series-23-6-pack-2022;;
71397;Luigi’s Mansion™ Lab and Poltergust Expansion Set;91.14;186
71405;tbd-LEAF-10-2022;;
71762;Kai’s Fire Dragon EVO;91.14;186
71763;Lloyd’s Race Car EVO;107.8;220
10696;LEGO® Medium Creative Brick Box;100.94;206
10913;Brick Box;99.47;203
10969;Fire Truck;98.78;201.6
11013;Creative Transparent Bricks;96.53;197
11019;Bricks and Functions;104.37;213
21189;The Skeleton Dungeon;111.72;228
31130;Sunken Treasure Mission;105.35;215
41699;Pet Adoption Café;99.47;203
41947;Mickey & Friends Bracelets Mega Pack;111.72;228
41957;Adhesive Patches Mega Pack;115.15;235
42136;John Deere 9620R 4WD Tractor;115.15;235
60314;Ice Cream Truck Police Chase;107.31;219
60319;Fire Rescue & Police Chase;99.47;203
60353;Wild Animal Rescue Missions;98.98;202
60354;Mars Spacecraft Exploration Missions;98.98;202
60355;Water Police Detective Missions;99.96;204
71770;Zane's Golden Dragon Jet;98.78;201.6
76181;Batmobile™: The Penguin™ Chase;108.29;221
76225;tbd-LSH-24-2022;;
76226;tbd-LSH-25-2022;;
76230;tbd-LSH-31-2022;;
10775;Mickey Mouse & Donald Duck's Farm;121.52;248
10778;Mickey, Minnie and Goofy's Fairground Fun;107.8;220
10783;Spider-Man at Doc Ock’s Lab;107.31;219
10915;Alphabet Truck;104.37;213
10939;T. rex and Triceratops Dinosaur Breakout;352.8;720
10940;Spider-Man Headquarters;;
10946;Family Camping Van Adventure;89.18;182
10951;Horse Stable and Pony Care;89.18;182
10961;Airplane & Airport;89.18;182
21168;The Warped Forest;116.62;238
21172;The Ruined Portal;116.13;237
31113;Race Car Transporter;89.18;182
31116;Safari Wildlife Tree House;89.18;182
31121;Crocodile;111.23;227
31122;Fish Tank;111.72;228
41441;Horse Training and Trailer;111.23;227
41444;Heartlake City Organic Café;89.67;183
41679;Forest House;111.23;227
41687;Magical Funfair Stalls;111.23;227
41710;Surfer Beach Fun;107.8;220
41949;Bag Tags Mega Pack - Messaging;114.17;233
41956;Ice Cream Picture Frames & Bracelet;115.15;235
43193;Ariel, Belle, Cinderella and Tiana's Storybook Adventures;89.18;182
60293;Stunt Park;112.21;229
60305;Car Transporter;89.67;183
60328;Beach Lifeguard Station;107.8;220
60345;Farmers Market Van;107.8;220
71388;Boss Sumo Bro Topple Tower Expansion Set;117.6;240
71398;Dorrie’s Beachfront Expansion Set;107.8;220
71735;Tournament of Elements;112.21;229
75299;Trouble on Tatooine™;121.52;248
75319;The Armorer’s Mandalorian™ Forge;121.52;248
76201;Captain Carter & The Hydra Stomper;;
76205;Gargantos Showdown;108.29;221
76385;Hogwarts™ Moment: Charms Class;106.82;218
76396;Hogwarts™ Moment: Divination Class;115.15;235
76397;Hogwarts™ Moment: Defence Class;;
10941;Mickey & Minnie Birthday Train;116.13;237
10962;Buzz Lightyear’s Planetary Mission;112.7;230
10976;Santa's Gingerbread House;115.64;236
21181;The Rabbit Ranch;124.46;254
21185;The Nether Bastion;130.83;267
43204;Anna and Olaf's Castle Fun;124.46;254
60348;Lunar Roving Vehicle;112.21;229
75324;Dark Trooper™ Attack;114.66;234
75332;tbd-IP-LSW14-2022;;
75333;Obi-Wan Kenobi’s Jedi Starfighter™;122.99;251
76213;tbd-LSH-Batch-C2-2022;;
76831;Zurg Battle;114.66;234
76946;Blue & Beta Velociraptor Capture;;
60315;Police Mobile Command Truck;124.46;254
60324;Mobile Crane;124.46;254
75340;tbd-IP-LSW22-2022-Advent-Calendar;;
76188;Batman™ Classic TV Series Batmobile™;133.28;272
76194;Tony Stark’s Sakaarian Iron Man;133.77;273
76231;tbd-LSH-Advent-Calendar-2022;;
76404;tbd-HP-9-2022-Advent-Calendar;;
21034;London;153.37;313
41168;Elsa's Jewelry Box Creation;156.31;319
71406;tbd-LEAF-11-2022;;
75979;Hedwig™;156.31;319
10966;Bath Time Fun: Floating Animal Island;137.2;280
10977;My First Puppy & Kitten With Sounds;137.2;280
10978;Creative Building Time;136.71;279
21055;Burj Khalifa;98.45;179
21176;The Jungle Abomination;137.69;281
31129;Majestic Tiger;183.75;375
31131;Downtown Noodle Shop;158.27;323
41393;Baking Competition;143.08;292
41700;Beach Glamping;140.63;287
41716;Stephanie's Sailing Adventure;141.61;289
41938;Creative Designer Box;;
41952;Big Message Board;149.94;306
41964;Mickey Mouse & Minnie Mouse Back-to-School Project Box;149.94;306
43192;Cinderella’s Royal Carriage;144.06;294
43194;Anna and Elsa's Frozen Wonderland;143.57;293
43208;Jasmine and Mulan’s Adventure;141.61;289
60308;Seaside Police and Fire Mission;131.2;267.75
60313;Space Ride Amusement Truck;141.12;288
71389;Lakitu Sky World Expansion Set;138.67;283
71399;Luigi’s Mansion™ Entryway Expansion Set;141.61;289
71736;Boulder Blaster;131.32;268
71746;Jungle Dragon;131.81;269
71749;Final Flight of Destiny's Bounty;;
71752;Ninja Sub Speeder;;
71759;Ninja Dragon Temple;141.61;289
71764;Ninja Training Center;;
71769;Cole’s Dragon Cruiser;157.78;322
75311;Imperial Armored Marauder;;
75342;Republic Fighter Tank™;149.21;304.5
