product_number;product_name;discount_price;price
71745;Lloyd's Jungle Chopper Bike;59.29;88.0
71750;Lloyd's Hydro Mech;87.0;99.0
75310;Duel on Mandalore™;150.58;0
76154;Deviant Ambush!;86.0;0
76184;Spider-Man vs. Mysterio’s Drone Attack;70.0;89.0
76186;Black Panther Dragon Flyer;98.21;0
76195;Spider-Man’s Drone Duel;65.7;89.0
76198;Spider-Man & Doctor Octopus Mech Battle;150.58;0
76219;Spider-Man & Green Goblin Mech Battle;139.0;0
76900;Koenigsegg Jesko;78.4;88.75
76901;Toyota GR Supra;74.91;89.0
76902;McLaren Elva;81.78;89.0
10872;Train Bridge and Tracks;82.32;119.0
10944;Space Shuttle Mission;86.18;99.0
21180;The Guardian Battle;100.55;0
21184;The Bakery;91.81;99.0
41960;Big Box;94.29;99.0
60352;LEGO® City Advent Calendar;139.0;0
76906;1970 Ferrari 512 M;77.91;99.0
76907;Lotus Evija;73.99;99.0
76908;Lamborghini Countach;77.91;99.0
76911;007 Aston Martin DB5;109.0;0
76912;Fast & Furious 1970 Dodge Charger R/T;89.0;99.0
41706;LEGO® Friends Advent Calendar;195.81;0
41707;Tree-Planting Vehicle;90.94;0
60327;Horse Transporter;91.14;150.0
60343;Rescue Helicopter Transport;129.0;0
71035;The Muppets 6 pack;149.0;0
71036;tbd-Minifigures-Series-23-6-pack-2022;154.97;0
71397;Luigi’s Mansion™ Lab and Poltergust Expansion Set;81.0;91.1
71405;tbd-LEAF-10-2022;109.0;0
71762;Kai’s Fire Dragon EVO;100.02;150.0
71763;Lloyd’s Race Car EVO;100.02;150.0
10696;LEGO® Medium Creative Brick Box;159.0;166.95
10913;Brick Box;137.68;149.0
10969;Fire Truck;129.0;0
11013;Creative Transparent Bricks;85.4;119.0
11019;Bricks and Functions;92.0;119.0
21189;The Skeleton Dungeon;170.01;0
31130;Sunken Treasure Mission;159.0;0
41699;Pet Adoption Café;99.47;119.0
41947;Mickey & Friends Bracelets Mega Pack;119.0;0
41957;Adhesive Patches Mega Pack;113.33;0
42136;John Deere 9620R 4WD Tractor;95.0;108.43
60314;Ice Cream Truck Police Chase;116.2;0
60319;Fire Rescue & Police Chase;96.47;109.94
60353;Wild Animal Rescue Missions;98.98;119.0
60354;Mars Spacecraft Exploration Missions;98.8;119.0
60355;Water Police Detective Missions;105.88;119.0
71770;Zane's Golden Dragon Jet;113.33;119.0
76181;Batmobile™: The Penguin™ Chase;119.0;0
76225;tbd-LSH-24-2022;119.0;0
76226;tbd-LSH-25-2022;147.01;0
76230;tbd-LSH-31-2022;119.0;0
10775;Mickey Mouse & Donald Duck's Farm;149.0;0
10778;Mickey, Minnie and Goofy's Fairground Fun;129.0;0
10915;Alphabet Truck;149.0;0
10939;T. rex and Triceratops Dinosaur Breakout;149.0;0
10940;Spider-Man Headquarters;143.31;0
10946;Family Camping Van Adventure;99.0;129.0
10951;Horse Stable and Pony Care;228.73;0
10961;Airplane & Airport;127.3;0
21168;The Warped Forest;143.31;0
21172;The Ruined Portal;116.13;129.0
31113;Race Car Transporter;135.0;0
31116;Safari Wildlife Tree House;103.05;0
31121;Crocodile;172.03;320.04
31122;Fish Tank;189.0;0
41441;Horse Training and Trailer;138.59;0
41444;Heartlake City Organic Café;89.67;96.7
41679;Forest House;135.4;0
41687;Magical Funfair Stalls;129.0;0
41710;Surfer Beach Fun;106.8;129.0
41949;Bag Tags Mega Pack - Messaging;114.17;129.0
41956;Ice Cream Picture Frames & Bracelet;161.87;0
43193;Ariel, Belle, Cinderella and Tiana's Storybook Adventures;98.1;119.0
60293;Stunt Park;121.79;129.0
60305;Car Transporter;209.0;0
60328;Beach Lifeguard Station;96.6;0
60345;Farmers Market Van;108.66;129.0
71388;Boss Sumo Bro Topple Tower Expansion Set;86.95;0
71398;Dorrie’s Beachfront Expansion Set;83.71;0
71735;Tournament of Elements;144.0;0
75299;Trouble on Tatooine™;121.52;186.0
75319;The Armorer’s Mandalorian™ Forge;189.0;0
76201;Captain Carter & The Hydra Stomper;136.0;0
76205;Gargantos Showdown;125.47;0
76385;Hogwarts™ Moment: Charms Class;130.29;164.0
76396;Hogwarts™ Moment: Divination Class;169.0;0
76397;Hogwarts™ Moment: Defence Class;122.86;129.0
10941;Mickey & Minnie Birthday Train;116.13;122.13
10962;Buzz Lightyear’s Planetary Mission;96.0;139.0
10976;Santa's Gingerbread House;175.45;0
21181;The Rabbit Ranch;129.0;139.0
21185;The Nether Bastion;139.0;0
43204;Anna and Olaf's Castle Fun;99.0;0
60348;Lunar Roving Vehicle;109.21;139.0
75324;Dark Trooper™ Attack;114.66;0
75332;tbd-IP-LSW14-2022;129.0;0
75333;Obi-Wan Kenobi’s Jedi Starfighter™;129.0;0
76213;tbd-LSH-Batch-C2-2022;149.0;0
76831;Zurg Battle;88.7;139.0
76946;Blue & Beta Velociraptor Capture;130.29;139.0
60315;Police Mobile Command Truck;124.46;169.0
60324;Mobile Crane;124.46;198.0
75340;tbd-IP-LSW22-2022-Advent-Calendar;274.64;0
76188;Batman™ Classic TV Series Batmobile™;170.0;0
76194;Tony Stark’s Sakaarian Iron Man;159.0;0
76231;tbd-LSH-Advent-Calendar-2022;169.0;0
76404;tbd-HP-9-2022-Advent-Calendar;266.72;0
21034;London;174.6;0
41168;Elsa's Jewelry Box Creation;156.31;179.0
71406;tbd-LEAF-11-2022;128.95;0
75979;Hedwig™;219.0;0
10966;Bath Time Fun: Floating Animal Island;114.0;0
10977;My First Puppy & Kitten With Sounds;126.26;0
10978;Creative Building Time;133.71;169.0
21055;Burj Khalifa;399.0;0
21176;The Jungle Abomination;199.0;0
31129;Majestic Tiger;168.63;227.46
31131;Downtown Noodle Shop;153.8;169.0
41393;Baking Competition;207.0;0
41700;Beach Glamping;127.27;169.0
41716;Stephanie's Sailing Adventure;112.41;169.0
41938;Creative Designer Box;179.0;0
41952;Big Message Board;118.0;169.0
41964;Mickey Mouse & Minnie Mouse Back-to-School Project Box;160.95;169.0
43192;Cinderella’s Royal Carriage;199.0;0
43194;Anna and Elsa's Frozen Wonderland;143.57;169.0
43208;Jasmine and Mulan’s Adventure;149.0;0
60308;Seaside Police and Fire Mission;134.0;0
60313;Space Ride Amusement Truck;141.12;169.0
71389;Lakitu Sky World Expansion Set;136.9;169.0
71399;Luigi’s Mansion™ Entryway Expansion Set;116.23;169.0
71736;Boulder Blaster;169.0;214.0
71746;Jungle Dragon;147.25;155.0
71749;Final Flight of Destiny's Bounty;172.0;0
71752;Ninja Sub Speeder;175.0;184.0
71759;Ninja Dragon Temple;146.0;0
71764;Ninja Training Center;138.09;169.0
71769;Cole’s Dragon Cruiser;160.95;169.0
75311;Imperial Armored Marauder;179.0;0
75342;Republic Fighter Tank™;266.76;0
75571;tbd-PT-IP-1-2021;180.74;0
76185;Spider-Man at the Sanctum Workshop;161.0;169.0
76190;Iron Man: Iron Monger Mayhem;186.0;0
76206;Iron Man Figure;184.0;0
76237;Sanctuary II: Endgame Battle;347.23;0
76239;Batmobile™ Tumbler: Scarecrow™ Showdown;191.0;0
76387;Hogwarts™: Fluffy Encounter;215.0;0
76394;Fawkes, Dumbledore’s Phoenix;141.0;189.0
76909;Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One;169.0;0
76910;Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3;141.61;169.0
80030;Monkie Kid’s Staff Creations;146.48;0
80031;Mei’s Dragon Car;169.0;0
71412;tbd-LEAF-17-2022;170.65;0
10281;Bonsai Tree;181.65;291.0
10309;Succulents;190.82;0
10311;Orchid;199.0;0
10698;LEGO® Large Creative Brick Box;222.7;0
10780;Mickey and Friends Castle Defenders;168.5;0
10784;Spider-Man Webquarters Hangout;171.01;0
10914;Deluxe Brick Box;259.0;0
10959;Police Station & Helicopter;236.25;0
10973;Wild Animals of South America;163.59;199.0
11014;Bricks and Wheels;185.5;0
11021;90 Years of Play;168.63;199.0
21028;New York City;222.01;270.0
21044;Paris;197.47;239.0
21186;The Ice Castle;194.04;0
21190;The Abandoned Village;197.0;0
31118;Surfer Beach House;176.31;0
41717;Mia's Wildlife Rescue;175.0;0
41962;Unicorn Creative Family Pack;195.87;0
42122;Jeep® Wrangler;191.83;291.0
42123;McLaren Senna GTR™;176.2;0
42137;Formula E® Porsche 99X Electric;174.68;0
42138;Ford Mustang Shelby® GT500®;188.88;0
43202;The Madrigal House;173.4;199.0
60301;Wildlife Rescue Off-Roader;137.36;0
60346;Barn & Farm Animals;214.0;0
71776;Jay and Nya's Race Car EVO;219.0;0
75322;Hoth™ AT-ST™;212.82;0
75334;Obi-Wan Kenobi™ vs. Darth Vader™;199.0;0
76211;tbd-LSH-Batch-C1-2022;199.0;0
76217;I am Groot;184.77;199.0
76398;Hogwarts™ Hospital Wing;177.87;199.0
76401;Hogwarts™ Courtyard: Sirius’s Rescue;227.6;0
76406;Hungarian Horntail Dragon;184.77;199.0
76832;XL-15 Spaceship;195.87;0
76944;T. rex Dinosaur Breakout;189.52;199.0
76947;Quetzalcoatlus Plane Ambush;215.01;0
76950;Triceratops Pickup Truck Ambush;177.38;199.0
76951;Pyroraptor & Dilophosaurus Transport;219.0;0
60320;Fire Station;194.86;0
10776;Mickey & Friends Fire Truck & Station;239.0;0
10942;Minnie’s House and Café;228.0;0
10947;Race Cars;173.77;0
31117;Space Shuttle Adventure;249.0;0
41681;Forest Camper Van and Sailboat;179.73;0
41701;Street Food Market;180.73;0
43195;Belle and Rapunzel's Royal Stables;159.0;225.31
60338;Smashing Chimpanzee Stunt Loop;138.28;219.0
71737;X-1 Ninja Charger;248.99;0
71747;The Keepers' Village;218.25;0
71753;Fire Dragon Attack;227.22;0
75305;Scout Trooper™ Helmet;186.0;0
75572;tbd-PT-IP-2-2021;302.26;0
76905;Ford GT Heritage Edition and Bronco R;225.0;0
75312;Boba Fett’s Starship™;216.23;229.0
80032;Chang’e Moon Cake Factory;0;0
10280;Flower Bouquet;190.12;239.0
10963;Spider-Man & Friends: Funfair Adventure;314.18;0
10979;Wild Animals of Europe;516.73;0
