product_number;product_name;discount_price;price
41695;Pet Clinic;66.0;89.0
41698;Pet Playground;66.0;89.0
41935;Lots of DOTS;107.0;179.0
41936;Pencil Holder;59.0;99.0
42118;Monster Jam™ Grave Digger™;974.0;1299.0
42119;Monster Jam™ Max-D™;674.0;899.0
43189;Elsa and the Nokk Storybook Adventures;674.0;899.0
43200;Antonio's Magical Door;54.0;109.0
43201;Isabela's Magical Door;54.0;109.0
60276;Police Prisoner Transport;674.0;899.0
60299;Stunt Competition;111.0;149.0
60340;The Blade Stunt Challenge;194.0;259.0
71740;Jay's Electro Mech;74.0;99.0
71745;Lloyd's Jungle Chopper Bike;396.0;529.0
71750;Lloyd's Hydro Mech;396.0;529.0
75310;Duel on Mandalore™;674.0;899.0
76154;Deviant Ambush!;374.0;499.0
76184;Spider-Man vs. Mysterio’s Drone Attack;33.0;45.0
76186;Black Panther Dragon Flyer;2599.0;0
76195;Spider-Man’s Drone Duel;674.0;899.0
76198;Spider-Man & Doctor Octopus Mech Battle;336.0;449.0
76219;Spider-Man & Green Goblin Mech Battle;2599.0;0
76900;Koenigsegg Jesko;2599.0;0
76901;Toyota GR Supra;2599.0;0
76902;McLaren Elva;2599.0;0
10872;Train Bridge and Tracks;103.0;125.0
10944;Space Shuttle Mission;1199.0;1599.0
21180;The Guardian Battle;74.0;99.0
21184;The Bakery;74.0;99.0
41960;Big Box;107.0;179.0
60352;LEGO® City Advent Calendar;336.0;449.0
76906;1970 Ferrari 512 M;2599.0;0
76907;Lotus Evija;2599.0;0
76908;Lamborghini Countach;2599.0;0
76911;007 Aston Martin DB5;2599.0;0
76912;Fast & Furious 1970 Dodge Charger R/T;2599.0;0
41706;LEGO® Friends Advent Calendar;246.0;329.0
41707;Tree-Planting Vehicle;246.0;329.0
60327;Horse Transporter;374.0;499.0
60343;Rescue Helicopter Transport;194.0;259.0
71035;The Muppets 6 pack;674.0;899.0
71036;tbd-Minifigures-Series-23-6-pack-2022;674.0;899.0
71397;Luigi’s Mansion™ Lab and Poltergust Expansion Set;81.0;109.0
71405;tbd-LEAF-10-2022;674.0;899.0
71762;Kai’s Fire Dragon EVO;111.0;149.0
71763;Lloyd’s Race Car EVO;396.0;529.0
10696;LEGO® Medium Creative Brick Box;224.0;299.0
10913;Brick Box;139.0;149.0
10969;Fire Truck;139.0;149.0
11013;Creative Transparent Bricks;186.0;249.0
11019;Bricks and Functions;186.0;249.0
21189;The Skeleton Dungeon;74.0;99.0
31130;Sunken Treasure Mission;965.0;1379.0
41699;Pet Adoption Café;74.0;99.0
41947;Mickey & Friends Bracelets Mega Pack;107.0;179.0
41957;Adhesive Patches Mega Pack;107.0;179.0
42136;John Deere 9620R 4WD Tractor;974.0;1299.0
60314;Ice Cream Truck Police Chase;336.0;449.0
60319;Fire Rescue & Police Chase;194.0;259.0
60353;Wild Animal Rescue Missions;374.0;499.0
60354;Mars Spacecraft Exploration Missions;374.0;499.0
60355;Water Police Detective Missions;374.0;499.0
71770;Zane's Golden Dragon Jet;396.0;529.0
76181;Batmobile™: The Penguin™ Chase;111.0;149.0
76225;tbd-LSH-24-2022;2599.0;0
76226;tbd-LSH-25-2022;2599.0;0
76230;tbd-LSH-31-2022;2599.0;0
10775;Mickey Mouse & Donald Duck's Farm;103.0;125.0
10778;Mickey, Minnie and Goofy's Fairground Fun;103.0;125.0
10783;Spider-Man at Doc Ock’s Lab;103.0;125.0
10915;Alphabet Truck;139.0;149.0
10939;T. rex and Triceratops Dinosaur Breakout;674.0;899.0
10940;Spider-Man Headquarters;139.0;149.0
10946;Family Camping Van Adventure;139.0;149.0
10951;Horse Stable and Pony Care;139.0;149.0
10961;Airplane & Airport;139.0;149.0
21168;The Warped Forest;164.0;219.0
21172;The Ruined Portal;74.0;99.0
31113;Race Car Transporter;965.0;1379.0
31116;Safari Wildlife Tree House;359.0;479.0
31121;Crocodile;74.0;99.0
31122;Fish Tank;74.0;149.0
41441;Horse Training and Trailer;111.0;149.0
41444;Heartlake City Organic Café;96.0;129.0
41679;Forest House;261.0;349.0
41687;Magical Funfair Stalls;111.0;149.0
41710;Surfer Beach Fun;246.0;329.0
41949;Bag Tags Mega Pack - Messaging;107.0;179.0
41956;Ice Cream Picture Frames & Bracelet;90.0;129.0
43193;Ariel, Belle, Cinderella and Tiana's Storybook Adventures;107.0;179.0
60293;Stunt Park;111.0;149.0
60305;Car Transporter;374.0;499.0
60328;Beach Lifeguard Station;194.0;259.0
60345;Farmers Market Van;194.0;259.0
71388;Boss Sumo Bro Topple Tower Expansion Set;111.0;149.0
71398;Dorrie’s Beachfront Expansion Set;96.0;129.0
71735;Tournament of Elements;396.0;529.0
75299;Trouble on Tatooine™;1349.0;1799.0
75319;The Armorer’s Mandalorian™ Forge;1349.0;1799.0
76201;Captain Carter & The Hydra Stomper;111.0;149.0
76205;Gargantos Showdown;2599.0;0
76385;Hogwarts™ Moment: Charms Class;674.0;899.0
76396;Hogwarts™ Moment: Divination Class;674.0;899.0
76397;Hogwarts™ Moment: Defence Class;674.0;899.0
10941;Mickey & Minnie Birthday Train;139.0;149.0
10962;Buzz Lightyear’s Planetary Mission;139.0;149.0
10976;Santa's Gingerbread House;103.0;125.0
21181;The Rabbit Ranch;74.0;99.0
21185;The Nether Bastion;74.0;99.0
43204;Anna and Olaf's Castle Fun;54.0;109.0
60348;Lunar Roving Vehicle;194.0;259.0
75324;Dark Trooper™ Attack;186.0;249.0
75332;tbd-IP-LSW14-2022;186.0;249.0
75333;Obi-Wan Kenobi’s Jedi Starfighter™;186.0;249.0
76213;tbd-LSH-Batch-C2-2022;2599.0;0
76831;Zurg Battle;111.0;149.0
76946;Blue & Beta Velociraptor Capture;2599.0;0
60315;Police Mobile Command Truck;374.0;499.0
60324;Mobile Crane;194.0;259.0
75340;tbd-IP-LSW22-2022-Advent-Calendar;186.0;249.0
76188;Batman™ Classic TV Series Batmobile™;224.0;299.0
76194;Tony Stark’s Sakaarian Iron Man;336.0;449.0
76231;tbd-LSH-Advent-Calendar-2022;2599.0;0
76404;tbd-HP-9-2022-Advent-Calendar;2599.0;0
21034;London;1199.0;0
41168;Elsa's Jewelry Box Creation;164.0;219.0
71406;tbd-LEAF-11-2022;261.0;349.0
75979;Hedwig™;411.0;549.0
10966;Bath Time Fun: Floating Animal Island;139.0;149.0
10977;My First Puppy & Kitten With Sounds;103.0;125.0
10978;Creative Building Time;103.0;125.0
21055;Burj Khalifa;2599.0;0
21176;The Jungle Abomination;74.0;99.0
31129;Majestic Tiger;74.0;149.0
31131;Downtown Noodle Shop;74.0;99.0
41393;Baking Competition;164.0;219.0
41700;Beach Glamping;126.0;169.0
41716;Stephanie's Sailing Adventure;246.0;329.0
41938;Creative Designer Box;107.0;179.0
41952;Big Message Board;118.0;169.0
41964;Mickey Mouse & Minnie Mouse Back-to-School Project Box;107.0;179.0
43192;Cinderella’s Royal Carriage;674.0;899.0
43194;Anna and Elsa's Frozen Wonderland;674.0;899.0
43208;Jasmine and Mulan’s Adventure;54.0;109.0
60308;Seaside Police and Fire Mission;336.0;449.0
60313;Space Ride Amusement Truck;336.0;449.0
71389;Lakitu Sky World Expansion Set;134.0;179.0
71399;Luigi’s Mansion™ Entryway Expansion Set;126.0;169.0
71736;Boulder Blaster;396.0;529.0
71746;Jungle Dragon;396.0;529.0
71749;Final Flight of Destiny's Bounty;396.0;529.0
71752;Ninja Sub Speeder;396.0;529.0
71759;Ninja Dragon Temple;396.0;529.0
71764;Ninja Training Center;396.0;529.0
71769;Cole’s Dragon Cruiser;396.0;529.0
75311;Imperial Armored Marauder;186.0;249.0
75342;Republic Fighter Tank™;186.0;249.0
75571;tbd-PT-IP-1-2021;415.0;499.0
76185;Spider-Man at the Sanctum Workshop;261.0;349.0
76190;Iron Man: Iron Monger Mayhem;2599.0;0
76206;Iron Man Figure;2599.0;0
76237;Sanctuary II: Endgame Battle;2599.0;0
76239;Batmobile™ Tumbler: Scarecrow™ Showdown;2599.0;0
76387;Hogwarts™: Fluffy Encounter;674.0;899.0
76394;Fawkes, Dumbledore’s Phoenix;674.0;899.0
76903;Chevrolet Corvette C8.R Race Car and 1969 Chevrolet Corvette;2599.0;0
76909;Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One;2599.0;0
76910;Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3;2599.0;0
80030;Monkie Kid’s Staff Creations;1199.0;0
80031;Mei’s Dragon Car;118.0;169.0
71412;tbd-LEAF-17-2022;111.0;149.0
10281;Bonsai Tree;1199.0;1599.0
10309;Succulents;1349.0;1799.0
10311;Orchid;139.0;149.0
10698;LEGO® Large Creative Brick Box;66.0;89.0
10780;Mickey and Friends Castle Defenders;103.0;125.0
10784;Spider-Man Webquarters Hangout;103.0;125.0
10914;Deluxe Brick Box;1199.0;1599.0
10959;Police Station & Helicopter;139.0;149.0
10973;Wild Animals of South America;103.0;125.0
11014;Bricks and Wheels;186.0;249.0
11015;Around the World;186.0;249.0
11021;90 Years of Play;449.0;599.0
21028;New York City;1199.0;1599.0
21044;Paris;674.0;899.0
21186;The Ice Castle;74.0;99.0
21190;The Abandoned Village;74.0;99.0
31118;Surfer Beach House;359.0;479.0
41717;Mia's Wildlife Rescue;246.0;329.0
41962;Unicorn Creative Family Pack;107.0;179.0
42122;Jeep® Wrangler;74.0;149.0
42123;McLaren Senna GTR™;54.0;109.0
42137;Formula E® Porsche 99X Electric;1199.0;0
42138;Ford Mustang Shelby® GT500®;974.0;1299.0
43202;The Madrigal House;54.0;109.0
60301;Wildlife Rescue Off-Roader;336.0;449.0
60346;Barn & Farm Animals;194.0;259.0
71776;Jay and Nya's Race Car EVO;396.0;529.0
75322;Hoth™ AT-ST™;186.0;249.0
75334;Obi-Wan Kenobi™ vs. Darth Vader™;186.0;249.0
76211;tbd-LSH-Batch-C1-2022;2599.0;0
76217;I am Groot;2599.0;0
76398;Hogwarts™ Hospital Wing;674.0;899.0
76401;Hogwarts™ Courtyard: Sirius’s Rescue;2599.0;0
76406;Hungarian Horntail Dragon;2599.0;0
76832;XL-15 Spaceship;111.0;149.0
76944;T. rex Dinosaur Breakout;411.0;549.0
76947;Quetzalcoatlus Plane Ambush;156.0;209.0
76950;Triceratops Pickup Truck Ambush;2599.0;0
76951;Pyroraptor & Dilophosaurus Transport;411.0;549.0
60320;Fire Station;336.0;449.0
10776;Mickey & Friends Fire Truck & Station;103.0;125.0
10942;Minnie’s House and Café;139.0;149.0
10947;Race Cars;139.0;149.0
11016;Creative Building Bricks;186.0;249.0
31117;Space Shuttle Adventure;74.0;99.0
41681;Forest Camper Van and Sailboat;261.0;349.0
41688;Magical Caravan;186.0;249.0
41701;Street Food Market;164.0;219.0
43195;Belle and Rapunzel's Royal Stables;186.0;249.0
60277;Police Patrol Boat;69.0;99.0
60291;Family House;111.0;149.0
60338;Smashing Chimpanzee Stunt Loop;336.0;449.0
71737;X-1 Ninja Charger;396.0;529.0
71747;The Keepers' Village;396.0;529.0
71753;Fire Dragon Attack;396.0;529.0
75305;Scout Trooper™ Helmet;186.0;249.0
75572;tbd-PT-IP-2-2021;415.0;499.0
76905;Ford GT Heritage Edition and Bronco R;2599.0;0
10899;Frozen Ice Castle;103.0;125.0
75312;Boba Fett’s Starship™;186.0;249.0
80032;Chang’e Moon Cake Factory;336.0;449.0
10280;Flower Bouquet;1199.0;1599.0
10963;Spider-Man & Friends: Funfair Adventure;139.0;149.0
10979;Wild Animals of Europe;103.0;125.0
21057;Singapore;1199.0;0
41708;Roller Disco Arcade;246.0;329.0
41720;Water Park;246.0;329.0
60349;Lunar Space Station;194.0;259.0
71360;Adventures with Mario Starter Course;674.0;899.0
71387;Adventures with Luigi Starter Course;674.0;899.0
76208;The Goat Boat;2599.0;0
10874;Steam Train;103.0;125.0
21183;The Training Grounds;74.0;99.0
41718;Pet Day-Care Center;246.0;329.0
41961;Designer Toolkit - Patterns;107.0;179.0
43203;Aurora, Merida and Tiana’s Enchanted Creations;54.0;109.0
60316;Police Station;336.0;449.0
71738;Zane's Titan Mech Battle;396.0;529.0
71766;Lloyd’s Legendary Dragon;396.0;529.0
71772;The Crystal King;396.0;529.0
75325;The Mandalorian’s N-1 Starfighter™;186.0;249.0
76399;Hogwarts™ Magical Trunk;674.0;899.0
10929;Modular Playhouse;139.0;149.0
10934;Creative animals;1199.0;1599.0
11011;Bricks and Animals;186.0;249.0
21051;Tokyo;374.0;499.0
21169;The First Adventure;74.0;99.0
21173;The Sky Tower;1199.0;0
41689;Magical Ferris Wheel and Slide;224.0;299.0
60282;Fire Command Unit;201.0;269.0
60294;Stunt Show Truck;224.0;299.0
60329;School Day;194.0;259.0
60347;Grocery Store;194.0;259.0
71400;Big Urchin Beach Ride Expansion Set;194.0;259.0
71403;tbd-LEAF-8-2022;965.0;1379.0
75316;Mandalorian Starfighter™;186.0;249.0
76182;Batman™ Cowl;336.0;449.0
76199;Carnage;336.0;449.0
76238;Classic TV Series Batman™ Cowl;224.0;299.0
76904;Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A;2599.0;0
31207;Floral Art;209.0;299.0
41711;Emma's Art School;246.0;329.0
