product_number;product_name;discount_price;price
21187;The Red Barn;0;629
21042;Statue of Liberty;0;669
11020;Build Together;0;599
10974;Wild Animals of Asia;0;519
10970;Fire Station & Helicopter;0;519
10497;tbd-Icon-MDP2-2022;0;619
10308;tbd-Icons-Seasonal-2022;0;599
10298;Vespa 125;0;599
10293;Santa’s Visit;411;549
10289;Bird of Paradise;449;599
10282;adidas Originals Superstar;329;519
10275;Elf Club House;449;599
10266;NASA Apollo 11 Lunar Lander;434;579
76989;Horizon Forbidden West: Tallneck;0;499
76407;The Shrieking Shack & Whomping Willow™;351;469
76402;Hogwarts™: Dumbledore’s Office;0;469
76388;Hogsmeade™ Village Visit;0;539
76216;Iron Man Armory;0;469
76214;tbd-LSH-Batch-C3-2022;0;469
76191;Infinity Gauntlet;0;459
75339;Death Star™ Trash Compactor Diorama;0;569
75330;Dagobah™ Jedi™ Training Diorama;374;499
75318;The Child;0;479
42139;All-Terrain Vehicle;351;469
76175;Attack on the Spider Lair;389;519
71401;Luigi’s Mansion™ Haunt-and-Seek Expansion Set;305;469
43206;Cinderella and Prince Charming's Castle;0;449
21328;Seinfeld;396;529
21319;Central Perk;0;439
10271;Fiat 500;411;549
75968;4 Privet Drive;0;479
75338;Ambush on Ferrix™;0;429
75304;Darth Vader™ Helmet;0;439
71771;The Crystal King Temple;0;449
71754;Water Dragon;0;419
60335;Train Station;0;469
41703;Friendship Tree House;0;459
41702;Canal Houseboat;329;439
21331;Sonic the Hedgehog™ – Green Hill Zone;0;429
11022;Space Mission;0;469
76392;Hogwarts™ Wizard’s Chess;0;459
76187;Venom;0;399
76183;Batcave™: The Riddler™ Face-off;0;399
76155;In Arishem’s Shadow;219;399
75306;Imperial Probe Droid™;239;439
75296;Darth Vader™ Meditation Chamber;295;449
71748;Catamaran Sea Battle;279;409
71409;tbd-LEAF-14-2022;269;359
71407;tbd-LEAF-12-2022;306;409
41709;Vacation Beach House;306;409
41693;Surfer Beachfront;314;419
41683;Forest Horseback Riding Center;269;419
41682;Heartlake City School;314;419
41449;Andrea's Family House;314;419
41395;Friendship Bus;329;439
11717;Bricks Bricks Plates;0;439
10952;Barn, Tractor & Farm Animal Care;306;409
76223;Nano Gauntlet;0;349
75343;Dark Trooper™ Helmet;0;369
75329;Death Star™ Trench Run Diorama;277;369
75328;The Mandalorian™ Helmet;0;369
75327;Luke Skywalker™ (Red Five) Helmet;0;369
42107;Ducati Panigale V4 R;284;379
41713;Olivia's Space Academy;0;409
41711;Emma's Art School;0;349
31207;Floral Art;0;429
76904;Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A;299;399
76238;Classic TV Series Batman™ Cowl;299;399
76199;Carnage;299;399
76182;Batman™ Cowl;0;399
75316;Mandalorian Starfighter™;235;389
71403;tbd-LEAF-8-2022;0;349
71400;Big Urchin Beach Ride Expansion Set;199;349
60347;Grocery Store;262;349
60329;School Day;0;339
60294;Stunt Show Truck;219;389
60282;Fire Command Unit;254;339
41689;Magical Ferris Wheel and Slide;277;369
21173;The Sky Tower;0;399
21169;The First Adventure;0;349
21051;Tokyo;284;379
11011;Bricks and Animals;0;359
10934;Creative animals;0;349
10929;Modular Playhouse;284;379
76399;Hogwarts™ Magical Trunk;0;359
75325;The Mandalorian’s N-1 Starfighter™;0;429
71772;The Crystal King;0;349
71766;Lloyd’s Legendary Dragon;0;349
71738;Zane's Titan Mech Battle;0;379
60316;Police Station;0;359
43203;Aurora, Merida and Tiana’s Enchanted Creations;0;359
41961;Designer Toolkit - Patterns;0;369
41718;Pet Day-Care Center;0;389
21183;The Training Grounds;0;359
10874;Steam Train;0;389
76208;The Goat Boat;0;299
71387;Adventures with Luigi Starter Course;291;389
71360;Adventures with Mario Starter Course;0;359
60349;Lunar Space Station;262;349
41720;Water Park;0;299
41708;Roller Disco Arcade;262;349
21057;Singapore;0;369
