product_number;product_name;discount_price;price
76202;Wolverine Mech Armor;42.75;45.0
71757;Lloyd's Ninja Mech;48.0;48.0
71734;Kai's Blade Cycle;49.0;61.25
71396;Bowser Jr.'s Clown Car Expansion Set;46.0;46.0
71393;Bee Mario Power-Up Pack;33.0;55.0
71392;Frog Mario Power-Up Pack;33.0;55.0
60344;Chicken Henhouse;49.0;79.0
60322;Race Car;44.0;44.0
60318;Fire Helicopter;49.0;49.0
60300;Wildlife Rescue ATV;48.0;61.25
41697;Turtle Protection Vehicle;48.0;48.0
41694;Pet Clinic Ambulance;48.0;48.0
41439;Cat Grooming Car;49.0;49.0
31100;Sports Car;49.0;49.0
43199;Elsa’s Castle Courtyard;44.0;44.0
43198;Anna’s Castle Courtyard;44.0;44.0
42132;Motorcycle;59.0;59.0
41719;Mobile Fashion Boutique;39.0;39.0
41696;Pony-Washing Stable;49.0;69.0
21177;The Creeper™ Ambush;49.0;49.0
10971;Wild Animals of Africa;44.99;53.99
10967;Police Motorcycle;44.0;59.0
10964;Bath Time Fun: Floating Red Panda;46.0;46.0
10781;Miles Morales: Spider-Man’s Techno Trike;48.0;48.0
71761;Zane’s Power Up Mech EVO;44.0;44.0
60312;Police Car;49.0;49.0
31128;Dolphin and Turtle;42.0;49.0
31124;Super Robot;39.0;39.0
11025;Blue Baseplate;41.0;41.0
11017;Creative Monsters;42.0;49.0
60333;Bathtub Stunt Bike;31.0;31.0
60332;Reckless Scorpion Stunt Bike;31.0;31.0
60331;Touring Stunt Bike;31.0;31.0
60310;Chicken Stunt Bike;29.0;29.0
60309;Selfie Stunt Bike;29.0;29.0
60298;Rocket Stunt Bike;35.0;35.0
60297;Demolition Stunt Bike;35.0;35.0
60296;Wheelie Stunt Bike;26.1;29.0
41955;Stitch-on Patch;30.0;49.0
41954;Adhesive Patch;30.0;49.0
41953;Rainbow Bracelet with Charms;35.0;49.0
41943;Gamer Bracelet with Charms;31.0;31.0
41942;Into the Deep Bracelets with Charms;31.0;31.0
41963;Mickey Mouse & Minnie Mouse Stitch-on Patch;33.0;33.0
11012;Creative White Bricks;21.0;21.0
41946;Extra DOTS – Series 6;17.0;17.0
